period: 208   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 209   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 210   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 211   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 212   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 213   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 214   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 215   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 216   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 217   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 218   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 219   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 220   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 221   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 222   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 223   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 224   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 225   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 226   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 227   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 228   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 229   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 230   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 231   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 232   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 233   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 234   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 235   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 236   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 237   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 238   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 239   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 240   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 241   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 242   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 243   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 244   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 245   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 246   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 247   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 248   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 249   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 250   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 251   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 252   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 253   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 254   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 255   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 256   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 257   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 258   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 259   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 260   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 261   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 262   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 263   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 264   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 265   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 266   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 267   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 268   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 269   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
period: 270   v0: 0.7078403500   v1: 0.1028606012   v2: 20   v3: 28130   v4: 0   
